c3_1 empty
c3_2     67 lines       15 KB
c3_3    588 lines       88 KB
c3_4    236 lines       44 KB
c3_5    727 lines      167 KB
c4_1    182 lines       36 KB
c4_2    872 lines      193 KB
c4_3   1649 lines      332 KB
c4_4   2027 lines      368 KB
c4_5    202 lines       67 KB
c5_1   1206 lines      225 KB
c5_2   1308 lines      389 KB
c5_3    260 lines       78 KB
c5_4    151 lines       52 KB
c5_5    141 lines       51 KB
c6_1     56 lines        3 KB
c6_2     22 lines        1 KB
c6_3     91 lines       20 KB
c6_4     92 lines       23 KB
c6_5     38 lines       11 KB
done
